date,player_id,player_name,book,over_price,under_price,fetched_at,p_model,got_hit,home_away,batter_hand,pitcher_hand,platoon_advantage,pitcher_features_known,edge_over,decimal_over,book_rank,pnl
2026-03-25,641857,Ryan McMahon,draftkings,-121,-109,2026-04-24T20:46:59.229440+00:00,0.723954975605011,1,A,L,R,1,1,0.322264872799235,1.8264462809917354,0,0.8264462809917354
2026-03-25,663757,Trent Grisham,draftkings,-167,125,2026-04-24T20:46:59.229440+00:00,0.7736936410268148,1,A,L,R,1,1,0.23698324643209312,1.5988023952095807,0,0.5988023952095807
2026-03-25,669224,Austin Wells,draftkings,-138,104,2026-04-24T20:46:59.229440+00:00,0.7525719602902731,1,A,L,R,1,1,0.2979139605006159,1.7246376811594204,0,0.7246376811594204
2026-03-25,676609,Jose Caballero,draftkings,-141,106,2026-04-24T20:46:59.229440+00:00,0.723954975605011,1,A,R,R,0,1,0.23739822071494787,1.7092198581560285,0,0.7092198581560285
2026-03-26,545361,Mike Trout,draftkings,-157,118,2026-04-24T20:47:15.820283+00:00,0.8234914342562357,1,A,R,R,0,1,0.3480082713621183,1.6369426751592355,0,0.6369426751592355
2026-03-26,553993,Eugenio Suarez,draftkings,-146,110,2026-04-24T20:47:15.820283+00:00,0.7663708925247192,0,H,R,L,1,1,0.29128246274712966,1.6849315068493151,0,-1.0
2026-03-26,571970,Max Muncy,draftkings,-157,118,2026-04-24T20:47:15.820283+00:00,0.9145781199137369,1,H,L,R,1,1,0.4971119542536967,1.6369426751592355,0,0.6369426751592355
2026-03-26,605137,Josh Bell,draftkings,-184,138,2026-04-24T20:47:15.820283+00:00,0.723954975605011,0,A,L,L,0,1,0.11740876669469086,1.5434782608695652,0,-1.0
2026-03-26,608070,Jose Ramirez,draftkings,-178,133,2026-04-24T20:47:15.820283+00:00,0.8006875912348429,1,A,L,R,1,1,0.2505120806926198,1.5617977528089888,0,0.5617977528089888
2026-03-26,624585,Jorge Soler,draftkings,-131,-102,2026-04-24T20:47:15.820283+00:00,0.723954975605011,1,A,R,R,0,1,0.2765923615630347,1.7633587786259541,0,0.7633587786259541
2026-03-26,643376,Danny Jansen,draftkings,-115,-115,2026-04-24T20:47:15.820283+00:00,0.6020806630452474,1,A,R,L,1,1,0.1256290656932887,1.8695652173913042,0,0.8695652173913042
2026-03-26,650402,Gleyber Torres,draftkings,-161,121,2026-04-24T20:47:15.820283+00:00,0.7308852672576904,1,A,R,R,0,1,0.18485127176557264,1.62111801242236,0,0.6211180124223601
2026-03-26,656941,Kyle Schwarber,draftkings,-184,138,2026-04-24T20:47:15.820283+00:00,0.754396398862203,1,H,L,R,1,1,0.16439444172209589,1.5434782608695652,0,0.5434782608695652
2026-03-26,660162,Yoan Moncada,draftkings,-119,-111,2026-04-24T20:47:15.820283+00:00,0.6592183113098145,1,A,L,R,1,1,0.21318327879705345,1.8403361344537816,0,0.8403361344537816
2026-03-26,663886,Tyler Stephenson,draftkings,-149,112,2026-04-24T20:47:15.820283+00:00,0.765700121720632,0,H,R,L,1,1,0.27959282086199566,1.6711409395973154,0,-1.0
2026-03-26,664023,Ian Happ,draftkings,-189,141,2026-04-24T20:47:15.820283+00:00,0.7312779625256857,1,H,L,R,1,1,0.11819751941758283,1.529100529100529,0,0.5291005291005291
2026-03-26,665742,Juan Soto,draftkings,-158,118,2026-04-24T20:47:15.820283+00:00,0.6917743484179179,1,H,L,R,1,1,0.12960621450520765,1.6329113924050633,0,0.6329113924050633
2026-03-26,665966,Carlos Narvaez,draftkings,-167,125,2026-04-24T20:47:15.820283+00:00,0.744458794593811,1,A,R,L,1,1,0.1902425039314224,1.5988023952095807,0,0.5988023952095807
2026-03-26,666023,Freddy Fermin,draftkings,-113,-118,2026-04-24T20:47:15.820283+00:00,0.7141114274660746,0,H,R,L,1,1,0.34606844292277783,1.8849557522123894,0,-1.0
2026-03-26,666310,Bo Naylor,draftkings,-101,-131,2026-04-24T20:47:15.820283+00:00,0.775570789972941,0,A,L,R,1,1,0.5434626612332787,1.99009900990099,0,-1.0
2026-03-26,668715,Spencer Steer,draftkings,-168,126,2026-04-24T20:47:15.820283+00:00,0.7945566574732462,0,H,R,L,1,1,0.26750704882636894,1.5952380952380953,0,-1.0
2026-03-26,669003,Garrett Mitchell,draftkings,-114,-117,2026-04-24T20:47:15.820283+00:00,0.674685001373291,0,H,L,R,1,1,0.26651394994635325,1.8771929824561404,0,-1.0
2026-03-26,669016,Brandon Marsh,draftkings,-179,134,2026-04-24T20:47:15.820283+00:00,0.792191763718923,1,H,L,R,1,1,0.2347569948468129,1.558659217877095,0,0.558659217877095
2026-03-26,669357,Nolan Gorman,draftkings,-121,-110,2026-04-24T20:47:15.820283+00:00,0.6314647793769836,1,H,L,R,1,1,0.15333649787035852,1.8264462809917354,0,0.8264462809917354
2026-03-26,670042,Luke Raley,draftkings,-112,-118,2026-04-24T20:47:15.820283+00:00,0.792191763718923,1,H,L,R,1,1,0.49950583846796137,1.8928571428571428,0,0.8928571428571428
2026-03-26,672356,Gabriel Arias,draftkings,-105,-126,2026-04-24T20:47:15.820283+00:00,0.7011402249336243,1,A,R,R,0,1,0.36889282010850444,1.9523809523809523,0,0.9523809523809523
2026-03-26,679529,Spencer Torkelson,draftkings,-141,106,2026-04-24T20:47:15.820283+00:00,0.6827634572982788,1,A,R,R,0,1,0.16699285963748367,1.7092198581560285,0,0.7092198581560285
2026-03-26,681082,Bryson Stott,draftkings,-173,130,2026-04-24T20:47:15.820283+00:00,0.765700121720632,1,H,L,R,1,1,0.20830134814874296,1.5780346820809248,0,0.5780346820809248
2026-03-26,683146,Brett Baty,draftkings,-119,-111,2026-04-24T20:47:15.820283+00:00,0.6156271696090698,1,H,L,R,1,1,0.13296092558307804,1.8403361344537816,0,0.8403361344537816
2026-03-26,686527,Dominic Canzone,draftkings,-127,-105,2026-04-24T20:47:15.820283+00:00,0.7140801350275675,1,H,L,R,1,1,0.27634795788391986,1.7874015748031495,0,0.7874015748031495
