date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,drop_reason,dropped_at
2026-05-02,823554,665750,Leody Taveras,BAL,NYY,A,7,False,0.8181818181818182,4.0,L,L,0,1,1,0,0.7475728155339806,0,0.1818181818181818,1.0,0,1,-296,Leody Taveras,draftkings,-140,105,2026-05-02T11:33:17.902199+00:00,0.2815533980582524,True,1:35 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T16:05:57Z
2026-05-02,823715,664702,Myles Straw,TOR,MIN,A,1,False,0.8333333333333334,4.6,R,L,1,1,1,0,0.7475728155339806,0,0.1875,1.0,0,1,-296,Myles Straw,draftkings,-157,118,2026-05-02T11:33:17.902199+00:00,0.2237338445365159,True,2:10 PM ET,"Edge dropped from 22.4% to 9.7%, below 11.4% gate floor.",2026-05-02T16:05:57Z
2026-05-02,824685,621020,Dansby Swanson,CHC,AZ,H,7,False,0.9090909090909092,3.95,R,R,0,0,1,0,0.6679160419790104,0,0.2727272727272727,1.0,0,1,-201,Dansby Swanson,draftkings,-132,-101,2026-05-02T11:33:17.902199+00:00,0.1739130434782607,True,2:20 PM ET,"Edge dropped from 17.4% to 8.8%, below 11.4% gate floor.",2026-05-02T16:05:57Z
2026-05-02,824685,663538,Nico Hoerner,CHC,AZ,H,1,False,1.0,4.55,R,R,0,0,1,0,0.8075040783034257,0,0.2,1.0,0,1,-419,Nico Hoerner,draftkings,-231,171,2026-05-02T11:33:17.902199+00:00,0.1570729433698438,True,2:20 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T16:05:57Z
2026-05-02,824771,694728,Brice Matthews,HOU,BOS,A,9,False,0.8181818181818182,3.8,R,L,1,1,1,0,0.6679160419790104,0,0.2727272727272727,1.0,0,1,-201,Brice Matthews,draftkings,102,-136,2026-05-02T11:33:17.902199+00:00,0.3491904047976011,True,4:10 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T16:05:57Z
2026-05-02,824771,701358,Cam Smith,HOU,BOS,A,6,False,0.9090909090909092,4.1,R,L,1,1,1,0,0.7663551401869159,0,0.0952380952380952,1.0,0,1,-328,Cam Smith,draftkings,-175,131,2026-05-02T11:33:17.902199+00:00,0.2042723631508677,True,4:10 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T16:05:57Z
2026-05-02,824771,514888,Jose Altuve,HOU,BOS,A,3,False,0.8181818181818182,4.4,R,L,1,1,1,0,0.8418079096045198,0,0.1304347826086956,1.0,0,1,-532,Jose Altuve,draftkings,-234,173,2026-05-02T11:33:17.902199+00:00,0.2015548795209812,True,4:10 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T16:05:57Z
2026-05-02,823876,547180,Bryce Harper,PHI,MIA,A,3,False,1.0,4.4,L,R,1,1,1,0,0.8075040783034257,0,0.2727272727272727,1.0,0,1,-419,Bryce Harper,draftkings,-231,171,2026-05-02T11:33:17.902199+00:00,0.1570729433698438,True,4:10 PM ET,"Price moved from -231 to -241, below -240 floor.",2026-05-02T16:05:57Z
2026-05-02,824771,670623,Isaac Paredes,HOU,BOS,A,3,False,1.0,4.4,R,L,1,1,1,0,0.7560975609756098,1,0.3333333333333333,2.0,0,1,-310,Isaac Paredes,draftkings,-209,155,2026-05-02T11:33:17.902199+00:00,0.1178667289065235,True,4:10 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T16:05:57Z
2026-05-02,823876,681082,Bryson Stott,PHI,MIA,A,6,False,0.8333333333333334,4.1,L,R,1,1,1,0,0.7422680412371134,0,0.2,1.0,0,1,-288,Bryson Stott,draftkings,-198,147,2026-05-02T11:33:17.902199+00:00,0.1171508903467666,True,4:10 PM ET,"Edge dropped from 11.7% to 10.4%, below 11.4% gate floor.",2026-05-02T16:05:57Z
2026-05-02,823067,690976,Alex Freeland,LAD,STL,A,9,False,0.8181818181818182,3.8,L,R,1,1,1,0,0.7565938206480783,1,0.3333333333333333,2.0,0,1,-311,Alex Freeland,draftkings,-136,102,2026-05-02T11:33:17.902199+00:00,0.3129128064187242,True,7:15 PM ET,"Projected lineup start_rate 75%, below 80% gate.",2026-05-02T16:05:57Z
2026-05-02,822746,696285,Jacob Young,WSH,MIL,H,5,False,1.0,4.15,R,L,1,1,1,0,0.7565938206480783,0,0.25,1.0,0,5,-311,Jacob Young,draftkings,-144,109,2026-05-02T16:05:46.772902+00:00,0.2820061960981327,True,4:05 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T17:34:09Z
2026-05-02,822746,691781,Brady House,WSH,MIL,H,3,False,0.8461538461538461,4.35,R,L,1,1,1,0,0.7565938206480783,0,0.1428571428571428,1.0,0,5,-311,Brady House,draftkings,-160,120,2026-05-02T16:05:46.772902+00:00,0.2294649585531273,True,4:05 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T17:34:09Z
2026-05-02,822746,695578,James Wood,WSH,MIL,H,1,False,1.0,4.55,L,L,0,0,1,0,0.8075040783034257,0,0.1363636363636363,1.0,0,5,-419,James Wood,draftkings,-198,148,2026-05-02T16:05:46.772902+00:00,0.2153344208809135,True,4:05 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T17:34:09Z
2026-05-02,822746,695734,Daylen Lile,WSH,MIL,H,5,False,0.9230769230769232,4.15,L,L,0,0,1,0,0.7565938206480783,0,0.0869565217391304,1.0,0,5,-311,Daylen Lile,draftkings,-168,126,2026-05-02T16:05:46.772902+00:00,0.2069472853195535,True,4:05 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T17:34:09Z
2026-05-02,822746,683083,Nasim Nuñez,WSH,MIL,H,7,False,0.8461538461538461,3.95,L,L,0,0,1,0,0.6679160419790104,1,0.3157894736842105,2.0,0,5,-201,Nasim Nunez,draftkings,-139,105,2026-05-02T16:05:46.772902+00:00,0.1484311800934064,True,4:05 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T17:34:09Z
2026-05-02,825014,682177,Daniel Schneemann,CLE,ATH,A,6,False,0.8333333333333334,4.1,L,L,0,1,1,0,0.6702508960573477,1,0.3181818181818182,2.0,0,4,-203,Daniel Schneemann,draftkings,-146,110,2026-05-02T16:05:46.772902+00:00,0.1293268522610104,True,4:05 PM ET,Player no longer in projected/confirmed lineup or no longer has prop odds in the latest fetch.,2026-05-02T17:34:09Z
