k,n_picks,hit_rate,mean_predicted,log_loss,calibration_gap
10,879,0.7918088737201365,0.7856770267891621,0.5049375877096651,0.0061318469309744605
20,1749,0.7655803316180675,0.7675998520346762,0.5407807457828637,-0.002019520416608689
