feature,importance
home_away_is_home,0.058990076
bat_xba_season,0.05783583
exp_pa,0.04991606
bat_k_pct,0.044713736
sp_k_pct,0.04156925
sp_xba_allowed,0.035705402
bat_line_drive_pct,0.035204794
pen_k_pct,0.034775633
batting_order,0.03361406
xba_14d,0.03245151
singles_park_factor,0.03234424
ba_30d,0.032278657
xba_diff,0.032142997
bat_hard_hit_pct,0.03196283
hard_hit_pct_14d,0.031794146
exposure_wtd_opp_xba,0.03177399
sp_hard_hit_allowed,0.031510405
sp_sweet_spot_allowed,0.031401735
park_factor,0.031175917
ba_14d,0.031142196
bat_sweet_spot_pct,0.030891964
PA_30d,0.030281305
xba_30d,0.029396193
sweet_spot_pct_30d,0.02932856
hard_hit_pct_30d,0.029212585
sweet_spot_pct_14d,0.028995512
PA_14d,0.027817696
pen_xba_allowed,0.027598148
pitcher_low_sample,0.024174541
