decile,n,pred_mean,actual_hit_rate,gap
1,1042,0.5750038564700922,0.5806142034548945,0.005610346984802228
2,1041,0.6287952010501016,0.627281460134486,-0.0015137409156155135
3,1030,0.6559265183592305,0.6359223300970874,-0.02000418826214312
4,1026,0.673226604878399,0.6267056530214425,-0.04652095185695648
5,1038,0.6887386340549839,0.6907514450867052,0.00201281103172124
6,1040,0.7024259332471933,0.7105769230769231,0.008150989829729838
7,1048,0.7141593747011578,0.7175572519083969,0.003397877207239164
8,1060,0.7264182404901997,0.720754716981132,-0.005663523509067625
9,995,0.7465218258862519,0.7336683417085427,-0.012853484177709262
10,1027,0.7891891731994565,0.7770204479065238,-0.01216872529293267
