date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-05-01,824287,663330,Jahmai Jones,DET,TEX,H,3,True,,4.35,R,L,1,1,1,0,0.8075040783034257,0,0.0909090909090909,1.0,0,1,-419,Jahmai Jones,draftkings,-121,-110,2026-05-01T22:36:24.800542+00:00,0.4748628207029511,True,6:40 PM ET,hit,1,0.8264462809917356,0.8264462809917356
2026-05-01,824287,696030,Alejandro Osuna,TEX,DET,A,7,True,,4.0,L,R,1,1,1,0,0.7565938206480783,1,0.375,2.0,0,4,-311,Alejandro Osuna,draftkings,-135,102,2026-05-01T22:36:24.800542+00:00,0.317033687794803,True,6:40 PM ET,hit,1,0.7407407407407407,1.4814814814814814
2026-05-01,824287,694497,Evan Carter,TEX,DET,A,2,True,,4.5,L,R,1,1,1,0,0.7565938206480783,0,0.0625,1.0,0,4,-311,Evan Carter,draftkings,-149,112,2026-05-01T22:36:24.800542+00:00,0.2643749083313524,True,6:40 PM ET,miss,0,-1.0,-1.0
2026-05-01,824287,663837,Matt Vierling,DET,TEX,H,6,True,,4.05,R,L,1,1,1,0,0.7565938206480783,0,0.2,1.0,0,1,-311,Matt Vierling,draftkings,-152,114,2026-05-01T22:36:24.800542+00:00,0.2543529131797089,True,6:40 PM ET,miss,0,-1.0,-1.0
2026-05-01,824287,682985,Riley Greene,DET,TEX,H,5,True,,4.15,L,L,0,0,1,0,0.7565938206480783,0,0.2608695652173913,1.0,0,1,-311,Riley Greene,draftkings,-154,115,2026-05-01T22:36:24.800542+00:00,0.2478885093805967,True,6:40 PM ET,hit,2,0.6493506493506493,0.6493506493506493
2026-05-01,824287,805808,Kevin McGonigle,DET,TEX,H,2,True,,4.45,L,L,0,0,1,0,0.8075040783034257,1,0.3636363636363636,2.0,0,1,-419,Kevin McGonigle,draftkings,-186,139,2026-05-01T22:36:24.800542+00:00,0.2416460558859126,True,6:40 PM ET,miss,0,-1.0,-2.0
2026-05-01,824287,693307,Dillon Dingler,DET,TEX,H,4,True,,4.25,R,L,1,1,1,0,0.8075040783034257,0,0.1904761904761904,1.0,0,1,-419,Dillon Dingler,draftkings,-191,143,2026-05-01T22:36:24.800542+00:00,0.230281082650769,True,6:40 PM ET,hit,1,0.5235602094240838,0.5235602094240838
2026-05-01,824287,607043,Brandon Nimmo,TEX,DET,A,1,True,,4.6,L,R,1,1,1,0,0.8075040783034257,0,0.2272727272727272,1.0,0,4,-419,Brandon Nimmo,draftkings,-205,153,2026-05-01T22:36:24.800542+00:00,0.2014085067441212,True,6:40 PM ET,hit,2,0.4878048780487805,0.4878048780487805
2026-05-01,824287,650402,Gleyber Torres,DET,TEX,H,1,True,,4.55,R,L,1,1,1,0,0.7663551401869159,0,0.2857142857142857,1.0,0,1,-328,Gleyber Torres,draftkings,-185,138,2026-05-01T22:36:24.800542+00:00,0.1806011619095731,True,6:40 PM ET,miss,0,-1.0,-1.0
2026-05-01,824287,673962,Josh Jung,TEX,DET,A,4,True,,4.3,R,R,0,1,1,0,0.8075040783034257,1,0.3636363636363636,2.0,0,4,-419,Josh Jung,draftkings,-233,173,2026-05-01T22:36:24.800542+00:00,0.1540723522533938,True,6:40 PM ET,hit,2,0.4291845493562232,0.8583690987124464
2026-05-01,824287,679529,Spencer Torkelson,DET,TEX,H,7,True,,3.95,R,L,1,1,1,0,0.6702508960573477,1,0.3478260869565217,2.0,0,1,-203,Spencer Torkelson,draftkings,-143,108,2026-05-01T22:36:24.800542+00:00,0.1389578163771712,True,6:40 PM ET,hit,1,0.6993006993006993,1.3986013986013985
2026-05-01,824287,608369,Corey Seager,TEX,DET,A,3,True,,4.4,L,R,1,1,1,0,0.7565938206480783,0,0.2083333333333333,1.0,0,4,-311,Corey Seager,draftkings,-203,151,2026-05-01T22:36:24.800542+00:00,0.1293001362382647,True,6:40 PM ET,hit,1,0.49261083743842365,0.49261083743842365
2026-05-01,822744,695578,James Wood,WSH,MIL,H,1,True,,4.55,L,R,1,1,1,0,0.7565938206480783,0,0.15,1.0,0,4,-311,James Wood,draftkings,-148,112,2026-05-01T22:36:24.800542+00:00,0.2678058616265096,True,6:45 PM ET,miss,0,-1.0,-1.0
2026-05-01,823389,668804,Bryan Reynolds,PIT,CIN,H,3,True,,4.35,L,R,1,1,1,0,0.8418079096045198,0,0.25,1.0,0,4,-532,Bryan Reynolds,draftkings,-206,153,2026-05-01T22:36:24.800542+00:00,0.2504525259173935,True,6:45 PM ET,hit,2,0.4854368932038835,0.4854368932038835
2026-05-01,823389,664040,Brandon Lowe,PIT,CIN,H,2,True,,4.45,L,R,1,1,1,0,0.8418079096045198,0,0.2608695652173913,1.0,0,4,-532,Brandon Lowe,draftkings,-212,158,2026-05-01T22:36:24.800542+00:00,0.2388871122481612,True,6:45 PM ET,miss,0,-1.0,-1.0
2026-05-01,823389,542303,Marcell Ozuna,PIT,CIN,H,6,True,,4.05,R,R,0,0,1,0,0.7565938206480783,0,0.1052631578947368,1.0,0,4,-311,Marcell Ozuna,draftkings,-163,122,2026-05-01T22:36:24.800542+00:00,0.2207618087757337,True,6:45 PM ET,hit,1,0.6134969325153374,0.6134969325153374
2026-05-01,823389,663993,Nathaniel Lowe,CIN,PIT,A,5,True,,4.2,L,R,1,1,1,0,0.8075040783034257,1,0.3636363636363636,2.0,1,11,-419,Nathaniel Lowe,draftkings,-197,147,2026-05-01T22:36:24.800542+00:00,0.2174046256655707,True,6:45 PM ET,miss,0,-1.0,-2.0
2026-05-01,822744,669003,Garrett Mitchell,MIL,WSH,A,1,True,,4.6,L,R,1,1,1,0,0.8075040783034257,0,0.2105263157894736,1.0,0,4,-419,Garrett Mitchell,draftkings,-201,150,2026-05-01T22:36:24.800542+00:00,0.2092474008424435,True,6:45 PM ET,hit,1,0.4975124378109453,0.4975124378109453
2026-05-01,822744,695734,Daylen Lile,WSH,MIL,H,5,True,,4.15,L,R,1,1,1,0,0.7560975609756098,0,0.0869565217391304,1.0,0,4,-310,Daylen Lile,draftkings,-167,125,2026-05-01T22:36:24.800542+00:00,0.2088505914999269,True,6:45 PM ET,hit,1,0.5988023952095808,0.5988023952095808
