date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et
2026-04-30,824929,690993,Colt Keith,DET,ATL,A,3,True,,4.4,L,R,1,1,1,0,0.7565938206480783,0,0.29411764705882354,1.0,0,3,-311,Colt Keith,draftkings,-191,143,2026-04-30T15:25:12.465094+00:00,0.15271623983555394,True,12:15 PM ET
2026-04-30,824929,642201,Eli White,ATL,DET,H,9,True,,3.75,R,L,1,1,1,0,0.6679160419790104,0,0.1875,1.0,0,3,-201,Eli White,draftkings,-148,111,2026-04-30T15:25:12.465094+00:00,0.11921066493780125,True,12:15 PM ET
2026-04-30,824848,694728,Brice Matthews,HOU,BAL,A,7,True,,4.0,R,R,0,1,1,0,0.7422680412371134,0,0.29411764705882354,1.0,0,1,-288,Brice Matthews,draftkings,-137,103,2026-04-30T15:25:12.465094+00:00,0.2840695311912108,True,12:35 PM ET
2026-04-30,823391,691023,Jordan Walker,STL,PIT,A,4,True,,4.3,R,R,0,1,1,0,0.7565938206480783,0,0.22727272727272727,1.0,0,10,-311,Jordan Walker,draftkings,-154,116,2026-04-30T15:25:12.465094+00:00,0.24788850938059676,True,12:35 PM ET
2026-04-30,823472,656941,Kyle Schwarber,PHI,SF,H,2,True,,4.45,L,R,1,1,1,0,0.8075040783034257,0,0.09090909090909091,1.0,0,1,-419,Kyle Schwarber,draftkings,-189,141,2026-04-30T15:25:12.465094+00:00,0.23475491338460336,True,12:35 PM ET
2026-04-30,823391,687363,Victor Scott II,STL,PIT,A,9,True,,3.8,L,R,1,1,1,0,0.5803571428571429,0,0.09523809523809523,1.0,0,10,-138,Victor Scott II,draftkings,112,-149,2026-04-30T15:25:12.465094+00:00,0.23035714285714304,True,12:35 PM ET
2026-04-30,823472,547180,Bryce Harper,PHI,SF,H,3,True,,4.35,L,R,1,1,1,0,0.8418079096045198,0,0.25,1.0,0,1,-532,Bryce Harper,draftkings,-219,163,2026-04-30T15:25:12.465094+00:00,0.2261950829399169,True,12:35 PM ET
2026-04-30,823391,676475,Alec Burleson,STL,PIT,A,3,True,,4.4,L,R,1,1,1,0,0.8075040783034257,0,0.20833333333333334,1.0,0,10,-419,Alec Burleson,draftkings,-197,147,2026-04-30T15:25:12.465094+00:00,0.21740462566557078,True,12:35 PM ET
2026-04-30,823472,666464,Jerar Encarnacion,SF,PHI,A,8,True,,3.9,R,L,1,1,1,0,0.6679160419790104,0,0.125,1.0,0,1,-201,Jerar Encarnación,draftkings,-123,-108,2026-04-30T15:25:12.465094+00:00,0.21093721431966928,True,12:35 PM ET
2026-04-30,823472,656305,Matt Chapman,SF,PHI,A,2,True,,4.5,R,L,1,1,1,0,0.7565938206480783,0,0.15789473684210525,1.0,0,1,-311,Matt Chapman,draftkings,-167,126,2026-04-30T15:25:12.465094+00:00,0.20964401265291566,True,12:35 PM ET
2026-04-30,823391,671056,Iván Herrera,STL,PIT,A,2,True,,4.5,R,R,0,1,1,0,0.7663551401869159,1,0.3333333333333333,2.0,0,10,-328,Ivan Herrera,draftkings,-174,130,2026-04-30T15:25:12.465094+00:00,0.20678912880008588,True,12:35 PM ET
2026-04-30,823472,681082,Bryson Stott,PHI,SF,H,6,True,,4.05,L,R,1,1,1,0,0.7565938206480783,0,0.2222222222222222,1.0,0,1,-311,Bryson Stott,draftkings,-181,136,2026-04-30T15:25:12.465094+00:00,0.1746014563652487,True,12:35 PM ET
2026-04-30,823472,671218,Heliot Ramos,SF,PHI,A,1,True,,4.6,R,L,1,1,1,0,0.8075040783034257,0,0.3,1.0,0,1,-419,Heliot Ramos,draftkings,-220,163,2026-04-30T15:25:12.465094+00:00,0.17455138662316472,True,12:35 PM ET
2026-04-30,823472,669016,Brandon Marsh,PHI,SF,H,5,True,,4.15,L,R,1,1,1,0,0.8075040783034257,1,0.4090909090909091,2.0,0,1,-419,Brandon Marsh,draftkings,-220,164,2026-04-30T15:25:12.465094+00:00,0.17455138662316472,True,12:35 PM ET
2026-04-30,823472,669477,Casey Schmitt,SF,PHI,A,4,True,,4.3,R,L,1,1,1,0,0.7565938206480783,0,0.2,1.0,0,1,-311,Casey Schmitt,draftkings,-190,142,2026-04-30T15:25:12.465094+00:00,0.1548010946733827,True,12:35 PM ET
2026-04-30,823472,642715,Willy Adames,SF,PHI,A,6,True,,4.1,R,L,1,1,1,0,0.6679160419790104,0,0.04,1.0,0,1,-201,Willy Adames,draftkings,-138,104,2026-04-30T15:25:12.465094+00:00,0.15191317384785857,True,12:35 PM ET
2026-04-30,823391,691026,Masyn Winn,STL,PIT,A,6,True,,4.1,R,R,0,1,1,0,0.6702508960573477,0,0.25,1.0,0,10,-203,Masyn Winn,draftkings,-143,107,2026-04-30T15:25:12.465094+00:00,0.1389578163771712,True,12:35 PM ET
