date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et
2026-05-02,822746,691781,Brady House,WSH,MIL,H,3,False,0.8461538461538461,4.35,R,L,1,1,1,0,0.7565938206480783,0,0.14285714285714285,1.0,0,5,-311,Brady House,draftkings,-160,120,2026-05-02T16:05:46.772902+00:00,0.22946495855312732,True,4:05 PM ET
2026-05-02,823388,682829,Elly De La Cruz,CIN,PIT,A,3,False,1.0,4.4,L,R,1,1,1,0,0.8075040783034257,0,0.2727272727272727,1.0,1,12,-419,Elly De La Cruz,draftkings,-192,144,2026-05-02T16:05:46.772902+00:00,0.22807911908646,True,4:05 PM ET
2026-05-02,825014,666126,Carlos Cortes,ATH,CLE,H,3,False,1.0,4.35,L,R,1,1,1,0,0.8418079096045198,1,0.5294117647058824,2.0,0,2,-532,Carlos Cortes,draftkings,-219,163,2026-05-02T16:05:46.772902+00:00,0.2261950829399169,True,4:05 PM ET
2026-05-02,822746,695578,James Wood,WSH,MIL,H,1,False,1.0,4.55,L,L,0,0,1,0,0.8075040783034257,0,0.13636363636363635,1.0,0,5,-419,James Wood,draftkings,-198,148,2026-05-02T16:05:46.772902+00:00,0.21533442088091354,True,4:05 PM ET
2026-05-02,822746,695734,Daylen Lile,WSH,MIL,H,5,False,0.9230769230769231,4.15,L,L,0,0,1,0,0.7565938206480783,0,0.08695652173913043,1.0,0,5,-311,Daylen Lile,draftkings,-168,126,2026-05-02T16:05:46.772902+00:00,0.20694728531955353,True,4:05 PM ET
2026-05-02,823388,665833,Oneil Cruz,PIT,CIN,H,1,False,0.8461538461538461,4.55,L,R,1,1,1,0,0.8075040783034257,0,0.14285714285714285,1.0,0,5,-419,Oneil Cruz,draftkings,-207,154,2026-05-02T16:05:46.772902+00:00,0.1976026668558053,True,4:05 PM ET
2026-05-02,825014,800050,Chase DeLauter,CLE,ATH,A,2,False,0.9166666666666666,4.5,L,L,0,1,1,0,0.8075040783034257,1,0.55,2.0,0,4,-419,Chase DeLauter,draftkings,-213,159,2026-05-02T16:05:46.772902+00:00,0.18661397422052706,True,4:05 PM ET
2026-05-02,823388,668715,Spencer Steer,CIN,PIT,A,6,False,1.0,4.1,R,R,0,1,1,0,0.7565938206480783,0,0.29411764705882354,1.0,1,12,-311,Spencer Steer,draftkings,-176,132,2026-05-02T16:05:46.772902+00:00,0.186476673289032,True,4:05 PM ET
2026-05-02,825014,671732,Lawrence Butler,ATH,CLE,H,8,False,0.9090909090909091,3.85,L,R,1,1,1,0,0.7565938206480783,0,0.1,1.0,0,2,-311,Lawrence Butler,draftkings,-176,132,2026-05-02T16:05:46.772902+00:00,0.186476673289032,True,4:05 PM ET
2026-05-02,822746,668930,Brice Turang,MIL,WSH,A,1,False,1.0,4.6,L,L,0,1,1,0,0.8075040783034257,1,0.36363636363636365,2.0,0,5,-419,Brice Turang,draftkings,-215,160,2026-05-02T16:05:46.772902+00:00,0.18308737053757723,True,4:05 PM ET
2026-05-02,823388,542303,Marcell Ozuna,PIT,CIN,H,4,False,0.9230769230769231,4.25,R,R,0,0,1,0,0.7560975609756098,0,0.16666666666666666,1.0,0,5,-310,Marcell Ozuna,draftkings,-180,135,2026-05-02T16:05:46.772902+00:00,0.1761517615176152,True,4:05 PM ET
2026-05-02,825014,677587,Brayan Rocchio,CLE,ATH,A,9,False,1.0,3.8,L,L,0,1,1,0,0.7565938206480783,0,0.2727272727272727,1.0,0,4,-311,Brayan Rocchio,draftkings,-181,136,2026-05-02T16:05:46.772902+00:00,0.1746014563652487,True,4:05 PM ET
2026-05-02,822746,641343,Jake Bauers,MIL,WSH,A,3,False,0.9166666666666666,4.4,L,L,0,1,1,0,0.7565938206480783,0,0.2916666666666667,1.0,0,5,-311,Jake Bauers,draftkings,-193,144,2026-05-02T16:05:46.772902+00:00,0.1486113442999324,True,4:05 PM ET
2026-05-02,822746,683083,Nasim Nuñez,WSH,MIL,H,7,False,0.8461538461538461,3.95,L,L,0,0,1,0,0.6679160419790104,1,0.3157894736842105,2.0,0,5,-201,Nasim Nunez,draftkings,-139,105,2026-05-02T16:05:46.772902+00:00,0.14843118009340645,True,4:05 PM ET
2026-05-02,823388,656811,Ryan O'Hearn,PIT,CIN,H,4,False,0.9230769230769231,4.25,L,R,1,1,1,0,0.7663551401869159,0,0.24,1.0,0,5,-328,Ryan O'Hearn,draftkings,-205,152,2026-05-02T16:05:46.772902+00:00,0.14018691588785043,True,4:05 PM ET
2026-05-02,822746,650859,Luis Rengifo,MIL,WSH,A,6,False,1.0,4.1,L,L,0,1,1,0,0.7565938206480783,0,0.2631578947368421,1.0,0,5,-311,Luis Rengifo,draftkings,-199,148,2026-05-02T16:05:46.772902+00:00,0.13679172047123328,True,4:05 PM ET
