date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass
2026-04-29,823471,664761,Alec Bohm,PHI,SF,H,7,False,1.0,3.95,R,R,0,0,1,0,0.731638418079096,0,0.25,1.0,0,2,-273,Alec Bohm,draftkings,-181,135,2026-04-29T15:39:23.928547+00:00,0.13585853856478447,True
2026-04-29,823796,571448,Nolan Arenado,AZ,MIL,A,7,False,1.0,4.0,R,R,0,1,1,0,0.7052740434332989,1,0.5789473684210527,2.0,0,2,-239,Nolan Arenado,draftkings,-165,124,2026-04-29T15:39:23.928547+00:00,0.13271285763529828,True
2026-04-29,824608,624585,Jorge Soler,LAA,CWS,A,4,True,,4.3,R,R,0,1,1,0,0.731638418079096,0,0.2727272727272727,1.0,0,9,-273,Jorge Soler,draftkings,-184,138,2026-04-29T15:39:23.928547+00:00,0.12926799312208298,True
2026-04-29,823633,691781,Brady House,WSH,NYM,A,3,False,0.9230769230769231,4.4,R,L,1,1,1,0,0.7052740434332989,0,0.19047619047619047,1.0,0,2,-239,Brady House,draftkings,-167,126,2026-04-29T15:39:23.928547+00:00,0.1275938299203042,True
2026-04-29,823471,656941,Kyle Schwarber,PHI,SF,H,2,False,1.0,4.45,L,R,1,1,1,0,0.7509727626459144,0,0.09090909090909091,1.0,0,2,-302,Kyle Schwarber,draftkings,-200,149,2026-04-29T15:39:23.928547+00:00,0.1264591439688716,True
2026-04-29,824445,677587,Brayan Rocchio,CLE,TB,H,9,True,,3.75,L,R,1,1,1,0,0.6431670281995663,0,0.19047619047619047,1.0,0,6,-180,Brayan Rocchio,draftkings,-134,101,2026-04-29T15:39:23.928547+00:00,0.1231424223783471,True
2026-04-29,823717,668227,Randy Arozarena,SEA,MIN,A,5,True,,4.2,R,R,0,1,1,0,0.7528089887640449,1,0.38095238095238093,2.0,0,9,-305,Randy Arozarena,draftkings,-204,152,2026-04-29T15:39:23.928547+00:00,0.1218330028640669,True
2026-04-29,823958,672640,Otto Lopez,MIA,LAD,A,3,False,1.0,4.4,R,R,0,1,1,0,0.7528089887640449,0,0.23076923076923078,1.0,0,1,-305,Otto Lopez,draftkings,-206,154,2026-04-29T15:39:23.928547+00:00,0.11825024544562007,True
2026-04-29,823796,677950,Alek Thomas,AZ,MIL,A,8,False,0.8,3.9,L,R,1,1,1,0,0.6617647058823529,1,0.3333333333333333,2.0,0,2,-196,Alek Thomas,draftkings,-145,109,2026-04-29T15:39:23.928547+00:00,0.11815415821501013,True
2026-04-29,824445,700932,Kyle Manzardo,CLE,TB,H,4,True,,4.25,L,R,1,1,1,0,0.6312684365781711,0,0.15384615384615385,1.0,0,6,-171,Kyle Manzardo,draftkings,-130,-102,2026-04-29T15:39:23.928547+00:00,0.11685954163830276,True
2026-04-29,824445,682177,Daniel Schneemann,CLE,TB,H,5,True,,4.15,L,R,1,1,1,0,0.6431670281995663,1,0.3333333333333333,2.0,0,6,-180,Daniel Schneemann,draftkings,-136,102,2026-04-29T15:39:23.928547+00:00,0.11608396069924742,True
2026-04-29,823796,699912,Jose Fernandez,AZ,MIL,A,6,False,1.0,4.1,R,R,0,1,1,0,0.6975425330812854,1,0.42105263157894735,2.0,0,2,-231,Jose Fernandez,draftkings,-167,126,2026-04-29T15:39:23.928547+00:00,0.11523267265091741,True
2026-04-29,823392,691026,Masyn Winn,STL,PIT,A,6,False,0.9166666666666666,4.1,R,R,0,1,1,0,0.7052740434332989,1,0.3076923076923077,2.0,0,9,-239,Masyn Winn,draftkings,-173,130,2026-04-29T15:39:23.928547+00:00,0.11294690090919429,True
2026-04-29,823633,682928,CJ Abrams,WSH,NYM,A,4,False,1.0,4.3,L,L,0,1,1,0,0.6617647058823529,0,0.15,1.0,0,2,-196,CJ Abrams,draftkings,-147,110,2026-04-29T15:39:23.928547+00:00,0.11194477791116442,True
2026-04-29,824445,641584,Jake Fraley,TB,CLE,A,5,True,,4.2,L,R,1,1,1,0,0.6431670281995663,1,0.35714285714285715,2.0,0,6,-180,Jake Fraley,draftkings,-138,104,2026-04-29T15:39:23.928547+00:00,0.10923009211229545,True
2026-04-29,823717,647304,Josh Naylor,SEA,MIN,A,4,True,,4.3,L,R,1,1,1,0,0.773109243697479,1,0.391304347826087,2.0,0,9,-341,Josh Naylor,draftkings,-232,172,2026-04-29T15:39:23.928547+00:00,0.1063459866705303,True
2026-04-29,823392,669357,Nolan Gorman,STL,PIT,A,5,False,1.0,4.2,L,R,1,1,1,0,0.6431670281995663,0,0.2857142857142857,1.0,0,9,-180,Nolan Gorman,draftkings,-139,104,2026-04-29T15:39:23.928547+00:00,0.10587712042947006,True
2026-04-29,824525,686668,Brenton Doyle,COL,CIN,A,9,False,0.8461538461538461,3.8,R,L,1,1,1,0,0.7052740434332989,0,0.17647058823529413,1.0,0,2,-239,Brenton Doyle,draftkings,-177,133,2026-04-29T15:39:23.928547+00:00,0.10373395497753557,True
2026-04-29,824608,518595,Travis d'Arnaud,LAA,CWS,A,8,True,,3.9,R,R,0,1,1,0,0.7052740434332989,0,0.1875,1.0,0,9,-239,Travis d'Arnaud,draftkings,-178,134,2026-04-29T15:39:23.928547+00:00,0.10149541614863539,True
