date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,outcome,hits_actual,pnl,pnl_weighted
2026-04-27,823719,656484,Tristan Gray,MIN,SEA,H,9,True,,3.75,L,R,1,1,1,0,0.7509727626459144,-302,Tristan Gray,draftkings,-139,104,2026-04-27T23:19:41.304849+00:00,0.2912409372113204,True,hit,2,0.7194244604316546,0.7194244604316546
2026-04-27,823719,670242,Matt Wallner,MIN,SEA,H,8,True,,3.85,L,R,1,1,1,0,0.7052740434332989,-239,Matt Wallner,draftkings,-123,-108,2026-04-27T23:19:41.304849+00:00,0.2786675746798833,True,miss,0,-1.0,-1.0
2026-04-27,823719,641598,Mitch Garver,SEA,MIN,A,7,True,,4.0,R,L,1,1,1,0,0.7528089887640449,-305,Mitch Garver,draftkings,-159,119,2026-04-27T23:19:41.304849+00:00,0.2262737615716202,True,hit,1,0.6289308176100629,0.6289308176100629
2026-04-27,823719,665019,Kody Clemens,MIN,SEA,H,6,True,,4.05,L,R,1,1,1,0,0.7528089887640449,-305,Kody Clemens,draftkings,-161,121,2026-04-27T23:19:41.304849+00:00,0.2203922115988553,True,hit,2,0.6211180124223602,0.6211180124223602
2026-04-27,823719,608701,Rob Refsnyder,SEA,MIN,A,1,True,,4.6,R,L,1,1,1,0,0.7509727626459144,-302,Rob Refsnyder,draftkings,-169,127,2026-04-27T23:19:41.304849+00:00,0.195335344093201,True,hit,1,0.591715976331361,0.591715976331361
