date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-05-03,823711,660821,Jesús Sánchez,TOR,MIN,A,4,False,1.0,4.3,L,R,1,1,1,0,0.7663551401869159,0,0.15,1.0,0,1,-328,Jesus Sanchez,draftkings,-212.0,158.0,2026-05-03T06:24:54.664591+00:00,0.1278434138599893,True,12:45 PM ET,hit,3,0.4716981132075472,0.4716981132075472
2026-05-03,824769,694728,Brice Matthews,HOU,BOS,A,6,True,,4.1,R,L,1,1,1,0,0.7565938206480783,1,0.4090909090909091,2.0,0,3,-311,Brice Matthews,draftkings,-119.0,-112.0,2026-05-03T17:00:13.882009+00:00,0.3923869472431022,True,1:35 PM ET,miss,0,-1.0,-2.0
2026-05-03,824769,701358,Cam Smith,HOU,BOS,A,7,True,,4.0,R,L,1,1,1,0,0.8075040783034257,0,0.1363636363636363,1.0,0,3,-419,Cam Smith,draftkings,-144.0,109.0,2026-05-03T17:00:13.882009+00:00,0.3682707993474714,True,1:35 PM ET,hit,3,0.6944444444444444,0.6944444444444444
2026-05-03,824769,687957,Dustin Harris,HOU,BOS,A,9,True,,3.8,L,L,0,1,1,0,0.6679160419790104,1,0.3333333333333333,2.0,0,3,-201,Dustin Harris,draftkings,-112.0,-119.0,2026-05-03T17:00:13.882009+00:00,0.2642696508888412,True,1:35 PM ET,miss,0,-1.0,-2.0
2026-05-03,824769,575929,Willson Contreras,BOS,HOU,H,2,True,,4.45,R,R,0,0,1,0,0.8418079096045198,1,0.3181818181818182,2.0,0,4,-532,Willson Contreras,draftkings,-210.0,156.0,2026-05-03T17:00:13.882009+00:00,0.2426688189400053,True,1:35 PM ET,hit,3,0.47619047619047616,0.9523809523809523
2026-05-03,824769,670623,Isaac Paredes,HOU,BOS,A,3,True,,4.4,R,L,1,1,1,0,0.8075040783034257,1,0.4166666666666667,2.0,0,3,-419,Isaac Paredes,draftkings,-190.0,142.0,2026-05-03T17:00:13.882009+00:00,0.2325062247789129,True,1:35 PM ET,hit,1,0.5263157894736842,1.0526315789473684
2026-05-03,823555,642215,Weston Wilson,BAL,NYY,A,8,True,,3.9,R,L,1,1,1,0,0.6666666666666666,0,0.25,1.0,0,3,-200,Weston Wilson,draftkings,-118.0,-113.0,2026-05-03T17:00:13.882009+00:00,0.2316384180790959,True,1:35 PM ET,hit,1,0.847457627118644,0.847457627118644
2026-05-03,823555,621493,Taylor Ward,BAL,NYY,A,1,True,,4.6,R,L,1,1,1,0,0.7560975609756098,0,0.125,1.0,0,3,-310,Taylor Ward,draftkings,-161.0,121.0,2026-05-03T17:00:13.882009+00:00,0.2257233752461748,True,1:35 PM ET,miss,0,-1.0,-1.0
2026-05-03,824769,701350,Roman Anthony,BOS,HOU,H,3,True,,4.35,L,R,1,1,1,0,0.8418079096045198,0,0.2608695652173913,1.0,0,4,-532,Roman Anthony,draftkings,-226.0,167.0,2026-05-03T17:00:13.882009+00:00,0.2142892855357232,True,1:35 PM ET,hit,1,0.4424778761061947,0.4424778761061947
2026-05-03,823555,677942,Blaze Alexander,BAL,NYY,A,9,True,,3.8,R,L,1,1,1,0,0.6024844720496895,0,0.1333333333333333,1.0,0,3,-152,Blaze Alexander,draftkings,-101.0,-131.0,2026-05-03T17:00:13.882009+00:00,0.1990037513068077,True,1:35 PM ET,hit,2,0.9900990099009901,0.9900990099009901
2026-05-03,822742,696285,Jacob Young,WSH,MIL,H,3,True,,4.35,R,R,0,0,1,0,0.7422680412371134,0,0.238095238095238,1.0,0,6,-288,Jacob Young,draftkings,-170.0,127.0,2026-05-03T17:00:13.882009+00:00,0.1788963007883566,True,1:35 PM ET,miss,0,-1.0,-1.0
2026-05-03,824769,572233,Christian Walker,HOU,BOS,A,4,True,,4.3,R,L,1,1,1,0,0.7663551401869159,1,0.4583333333333333,2.0,0,3,-328,Christian Walker,draftkings,-187.0,140.0,2026-05-03T17:00:13.882009+00:00,0.1761707231745714,True,1:35 PM ET,hit,2,0.5347593582887701,1.0695187165775402
2026-05-03,822742,695734,Daylen Lile,WSH,MIL,H,5,True,,4.15,L,R,1,1,1,0,0.7565938206480783,0,0.0833333333333333,1.0,0,6,-311,Daylen Lile,draftkings,-181.0,135.0,2026-05-03T17:00:13.882009+00:00,0.1746014563652487,True,1:35 PM ET,miss,0,-1.0,-1.0
2026-05-03,822742,695578,James Wood,WSH,MIL,H,1,True,,4.55,L,R,1,1,1,0,0.7565938206480783,0,0.2272727272727272,1.0,0,6,-311,James Wood,draftkings,-182.0,137.0,2026-05-03T17:00:13.882009+00:00,0.1723047111140555,True,1:35 PM ET,miss,0,-1.0,-1.0
2026-05-03,823387,682829,Elly De La Cruz,CIN,PIT,A,3,True,,4.4,L,R,1,1,1,0,0.7422680412371134,0,0.2857142857142857,1.0,1,13,-288,Elly De La Cruz,draftkings,-175.0,131.0,2026-05-03T17:00:13.882009+00:00,0.166421207658321,True,1:35 PM ET,miss,0,-1.0,-1.0
2026-05-03,823555,665750,Leody Taveras,BAL,NYY,A,6,True,,4.1,L,L,0,1,1,0,0.6875,0,0.1904761904761904,1.0,0,3,-220,Leody Taveras,draftkings,-148.0,111.0,2026-05-03T17:00:13.882009+00:00,0.152027027027027,True,1:35 PM ET,hit,1,0.6756756756756757,0.6756756756756757
2026-05-03,824769,655316,Andruw Monasterio,BOS,HOU,H,5,True,,4.15,R,R,0,0,1,0,0.7565938206480783,0,0.1904761904761904,1.0,0,4,-311,Andruw Monasterio,draftkings,-194.0,145.0,2026-05-03T17:00:13.882009+00:00,0.146590635415129,True,1:35 PM ET,miss,0,-1.0,-1.0
2026-05-03,823387,542303,Marcell Ozuna,PIT,CIN,H,6,True,,4.05,R,R,0,0,1,0,0.6666666666666666,0,0.2608695652173913,1.0,0,6,-200,Marcell Ozuna,draftkings,-140.0,105.0,2026-05-03T17:00:13.882009+00:00,0.1428571428571428,True,1:35 PM ET,hit,1,0.7142857142857143,0.7142857142857143
2026-05-03,822987,666464,Jerar Encarnacion,SF,TB,A,8,True,,3.9,R,L,1,1,1,0,0.8075040783034257,0,0.0,1.0,0,3,-419,Jerar Encarnación,draftkings,-127.0,-104.0,2026-05-03T17:35:34.130573+00:00,0.443334061219509,True,1:40 PM ET,miss,0,-1.0,-1.0
2026-05-03,822987,606992,Eric Haase,SF,TB,A,9,True,,3.8,R,L,1,1,1,0,0.7475728155339806,0,0.2352941176470588,1.0,0,3,-296,Eric Haase,draftkings,-125.0,-106.0,2026-05-03T17:35:34.130573+00:00,0.345631067961165,True,1:40 PM ET,hit,1,0.8,0.8
2026-05-03,822987,656305,Matt Chapman,SF,TB,A,5,True,,4.2,R,L,1,1,1,0,0.8075040783034257,0,0.0952380952380952,1.0,0,3,-419,Matt Chapman,draftkings,-175.0,131.0,2026-05-03T17:35:34.130573+00:00,0.2689349801910976,True,1:40 PM ET,miss,0,-1.0,-1.0
2026-05-03,822987,663743,Nick Fortes,TB,SF,H,8,True,,3.85,R,R,0,0,1,0,0.7560975609756098,0,0.125,1.0,0,4,-310,Nick Fortes,draftkings,-157.0,118.0,2026-05-03T17:35:34.130573+00:00,0.2376883641447879,True,1:40 PM ET,hit,1,0.6369426751592356,0.6369426751592356
2026-05-03,822987,646240,Rafael Devers,SF,TB,A,2,True,,4.5,L,L,0,1,1,0,0.8418079096045198,0,0.2,1.0,0,3,-532,Rafael Devers,draftkings,-229.0,170.0,2026-05-03T17:35:34.130573+00:00,0.2094096168554018,True,1:40 PM ET,hit,1,0.4366812227074236,0.4366812227074236
2026-05-03,822987,668723,Ryan Vilade,TB,SF,H,4,True,,4.25,R,R,0,0,1,0,0.7663551401869159,1,0.4,2.0,0,4,-328,Ryan Vilade,draftkings,-173.0,130.0,2026-05-03T17:35:34.130573+00:00,0.2093349900059424,True,1:40 PM ET,miss,0,-1.0,-2.0
2026-05-03,822987,669477,Casey Schmitt,SF,TB,A,3,True,,4.4,R,L,1,1,1,0,0.8418079096045198,1,0.3181818181818182,2.0,0,3,-532,Casey Schmitt,draftkings,-232.0,172.0,2026-05-03T17:35:34.130573+00:00,0.2046561465030196,True,1:40 PM ET,hit,2,0.43103448275862066,0.8620689655172413
2026-05-03,822987,642715,Willy Adames,SF,TB,A,6,True,,4.1,R,L,1,1,1,0,0.7565938206480783,0,0.0869565217391304,1.0,0,3,-311,Willy Adames,draftkings,-175.0,131.0,2026-05-03T17:35:34.130573+00:00,0.1889331467326945,True,1:40 PM ET,hit,1,0.5714285714285714,0.5714285714285714
2026-05-03,823875,669065,Kyle Stowers,MIA,PHI,H,3,True,,4.35,L,L,0,0,1,0,0.7565938206480783,0,0.0416666666666666,1.0,0,4,-311,Kyle Stowers,draftkings,-180.0,135.0,2026-05-03T17:35:34.130573+00:00,0.1769237210081218,True,1:40 PM ET,hit,1,0.5555555555555556,0.5555555555555556
2026-05-03,822987,666018,Jonathan Aranda,TB,SF,H,3,True,,4.35,L,R,1,1,1,0,0.7663551401869159,0,0.238095238095238,1.0,0,4,-328,Jonathan Aranda,draftkings,-193.0,144.0,2026-05-03T17:35:34.130573+00:00,0.1634303423563022,True,1:40 PM ET,hit,4,0.5181347150259067,0.5181347150259067
2026-05-03,822987,641584,Jake Fraley,TB,SF,H,5,True,,4.15,L,R,1,1,1,0,0.6875,0,0.2941176470588235,1.0,0,4,-220,Jake Fraley,draftkings,-145.0,110.0,2026-05-03T17:35:34.130573+00:00,0.1616379310344827,True,1:40 PM ET,miss,0,-1.0,-1.0
2026-05-03,823875,656941,Kyle Schwarber,PHI,MIA,A,2,True,,4.5,L,R,1,1,1,0,0.7565938206480783,0,0.3,1.0,0,3,-311,Kyle Schwarber,draftkings,-191.0,143.0,2026-05-03T17:35:34.130573+00:00,0.1527162398355539,True,1:40 PM ET,hit,2,0.5235602094240838,0.5235602094240838
2026-05-03,822987,808982,Jung Hoo Lee,SF,TB,A,7,True,,4.0,L,L,0,1,1,0,0.8075040783034257,0,0.2916666666666667,1.0,0,3,-419,Jung Hoo Lee,draftkings,-237.0,175.0,2026-05-03T17:35:34.130573+00:00,0.148223098684618,True,1:40 PM ET,miss,0,-1.0,-1.0
2026-05-03,822987,670764,Taylor Walls,TB,SF,H,9,True,,3.75,L,R,1,1,1,0,0.5793991416309013,0,0.2142857142857142,1.0,0,4,-138,Taylor Walls,draftkings,-102.0,-130.0,2026-05-03T17:35:34.130573+00:00,0.1474375157788438,True,1:40 PM ET,miss,0,-1.0,-1.0
2026-05-03,822987,810938,Ben Williamson,TB,SF,H,6,True,,4.05,R,R,0,0,1,0,0.7565938206480783,0,0.238095238095238,1.0,0,4,-311,Ben Williamson,draftkings,-202.0,151.0,2026-05-03T17:35:34.130573+00:00,0.1311452170085131,True,1:40 PM ET,hit,1,0.49504950495049505,0.49504950495049505
2026-05-03,823875,666624,Christopher Morel,MIA,PHI,H,6,True,,4.05,R,L,1,1,1,0,0.6134529725789492,0,0.1818181818181818,1.0,0,4,-159,Christopher Morel,draftkings,-121.0,-109.0,2026-05-03T17:35:34.130573+00:00,0.1204389003301468,True,1:40 PM ET,hit,2,0.8264462809917356,0.8264462809917356
2026-05-03,823875,681082,Bryson Stott,PHI,MIA,A,7,True,,4.0,L,R,1,1,1,0,0.7565938206480783,0,0.1176470588235294,1.0,0,3,-311,Bryson Stott,draftkings,-210.0,156.0,2026-05-03T17:35:34.130573+00:00,0.1168765923852585,True,1:40 PM ET,hit,1,0.47619047619047616,0.47619047619047616
2026-05-03,823065,690976,Alex Freeland,LAD,STL,A,9,True,,3.8,L,R,1,1,1,0,0.7565938206480783,1,0.3571428571428571,2.0,0,10,-311,Alex Freeland,draftkings,-124.0,-107.0,2026-05-03T17:35:34.130573+00:00,0.366750127622335,True,2:15 PM ET,miss,0,-1.0,-2.0
2026-05-03,823065,571970,Max Muncy,LAD,STL,A,5,True,,4.2,L,R,1,1,1,0,0.8418079096045198,1,0.3888888888888889,2.0,0,10,-532,Max Muncy,draftkings,-216.0,161.0,2026-05-03T17:35:34.130573+00:00,0.2315337936806863,True,2:15 PM ET,hit,1,0.46296296296296297,0.9259259259259259
