date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et
2026-05-01,824686,621020,Dansby Swanson,CHC,AZ,H,9,True,,3.75,R,R,0,0,1,0,0.7565938206480783,0,0.2727272727272727,1.0,0,4,-311,Dansby Swanson,draftkings,-129,-103,2026-05-01T18:16:34.203295+00:00,0.343100658359767,True,2:20 PM ET
2026-05-01,824686,664023,Ian Happ,CHC,AZ,H,4,True,,4.25,L,R,1,1,1,0,0.8075040783034257,0,0.20833333333333334,1.0,0,4,-419,Ian Happ,draftkings,-157,118,2026-05-01T18:16:34.203295+00:00,0.32183788614000264,True,2:20 PM ET
2026-05-01,824686,608324,Alex Bregman,CHC,AZ,H,3,True,,4.35,R,R,0,0,1,0,0.8418079096045198,0,0.17391304347826086,1.0,0,4,-532,Alex Bregman,draftkings,-186,139,2026-05-01T18:16:34.203295+00:00,0.29439280724135836,True,2:20 PM ET
2026-05-01,824686,608348,Carson Kelly,CHC,AZ,H,7,True,,3.95,R,R,0,0,1,0,0.7565938206480783,0,0.2857142857142857,1.0,0,4,-311,Carson Kelly,draftkings,-142,107,2026-05-01T18:16:34.203295+00:00,0.2894063704002462,True,2:20 PM ET
2026-05-01,824686,683737,Michael Busch,CHC,AZ,H,6,True,,4.05,L,R,1,1,1,0,0.7565938206480783,0,0.2222222222222222,1.0,0,4,-311,Michael Busch,draftkings,-153,115,2026-05-01T18:16:34.203295+00:00,0.2510995857775413,True,2:20 PM ET
2026-05-01,824686,691718,Pete Crow-Armstrong,CHC,AZ,H,8,True,,3.85,L,R,1,1,1,0,0.7565938206480783,0,0.21052631578947367,1.0,0,4,-311,Pete Crow-Armstrong,draftkings,-157,118,2026-05-01T18:16:34.203295+00:00,0.2385007127806123,True,2:20 PM ET
2026-05-01,824686,571448,Nolan Arenado,AZ,CHC,A,7,True,,4.0,R,R,0,1,1,0,0.7422680412371134,1,0.3333333333333333,2.0,0,1,-288,Nolan Arenado,draftkings,-158,119,2026-05-01T18:16:34.203295+00:00,0.21205794075427387,True,2:20 PM ET
2026-05-01,824686,673548,Seiya Suzuki,CHC,AZ,H,5,True,,4.15,R,R,0,0,1,0,0.7565938206480783,1,0.4166666666666667,2.0,0,4,-311,Seiya Suzuki,draftkings,-171,128,2026-05-01T18:16:34.203295+00:00,0.19904634734286097,True,2:20 PM ET
2026-05-01,824686,672515,Gabriel Moreno,AZ,CHC,A,5,True,,4.2,R,R,0,1,1,0,0.7565938206480783,1,0.42857142857142855,2.0,0,1,-311,Gabriel Moreno,draftkings,-179,134,2026-05-01T18:16:34.203295+00:00,0.17927193274197684,True,2:20 PM ET
2026-05-01,824686,682998,Corbin Carroll,AZ,CHC,A,3,True,,4.4,L,R,1,1,1,0,0.7565938206480783,0,0.23809523809523808,1.0,0,1,-311,Corbin Carroll,draftkings,-180,135,2026-05-01T18:16:34.203295+00:00,0.17692372100812187,True,2:20 PM ET
2026-05-01,824686,672695,Geraldo Perdomo,AZ,CHC,A,1,True,,4.6,L,R,1,1,1,0,0.7565938206480783,0,0.2631578947368421,1.0,0,1,-311,Geraldo Perdomo,draftkings,-182,136,2026-05-01T18:16:34.203295+00:00,0.1723047111140555,True,2:20 PM ET
2026-05-01,824686,545121,Ildemaro Vargas,AZ,CHC,A,2,True,,4.5,L,R,1,1,1,0,0.8075040783034257,1,0.4166666666666667,2.0,0,1,-419,Ildemaro Vargas,draftkings,-232,172,2026-05-01T18:16:34.203295+00:00,0.15556618102041958,True,2:20 PM ET
2026-05-01,824686,680728,Adrian Del Castillo,AZ,CHC,A,4,True,,4.3,L,R,1,1,1,0,0.6679160419790104,0,0.1,1.0,0,1,-201,Adrian Del Castillo,draftkings,-141,106,2026-05-01T18:16:34.203295+00:00,0.14161536253150014,True,2:20 PM ET
2026-05-01,824686,677950,Alek Thomas,AZ,CHC,A,8,True,,3.9,L,R,1,1,1,0,0.6679160419790104,0,0.2,1.0,0,1,-201,Alek Thomas,draftkings,-148,111,2026-05-01T18:16:34.203295+00:00,0.11921066493780125,True,2:20 PM ET
