date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,outcome,hits_actual,pnl,pnl_weighted
2026-04-24,824854,691785,Marcelo Mayer,BOS,BAL,A,7,4.0,L,R,1,1,1,0,0.7502293984095255,-300,Marcelo Mayer,draftkings,-148,115,2026-04-24T23:33:55.537294+00:00,0.2571411540916373,True,hit,2,0.6756756756756757,0.0
2026-04-24,824932,547180,Bryce Harper,PHI,ATL,A,3,4.4,L,R,1,1,1,0,0.7587698300679525,-315,Bryce Harper,draftkings,-154,120,2026-04-24T23:33:55.537294+00:00,0.2514775119302593,True,hit,1,0.6493506493506493,0.0
2026-04-24,822827,800050,Chase DeLauter,CLE,TOR,A,2,4.5,L,R,1,1,1,0,0.792191763718923,-381,Chase DeLauter,draftkings,-175,135,2026-04-24T23:33:55.537294+00:00,0.2448727715583075,True,miss,0,-1.0,0.0
2026-04-24,824529,663647,Ke'Bryan Hayes,CIN,DET,H,9,3.75,R,L,1,1,1,0,0.7697195212046305,-334,Ke'Bryan Hayes,draftkings,-162,126,2026-04-24T23:33:55.537294+00:00,0.244855028121069,True,miss,0,-1.0,0.0
2026-04-24,824529,680574,Matt McLain,CIN,DET,H,2,4.45,R,L,1,1,1,0,0.6913045446077982,-224,Matt McLain,draftkings,-125,-105,2026-04-24T23:33:55.537294+00:00,0.2443481802940368,True,hit,2,0.8,0.0
2026-04-24,822992,802415,Chandler Simpson,TB,MIN,H,1,4.55,L,R,1,1,1,0,0.7414523561795553,-287,Chandler Simpson,draftkings,-148,115,2026-04-24T23:33:55.537294+00:00,0.242433677922498,True,miss,0,-1.0,0.0
2026-04-24,824854,678882,Ceddanne Rafaela,BOS,BAL,A,2,4.5,R,R,0,1,1,0,0.7757108608881632,-346,Ceddanne Rafaela,draftkings,-168,130,2026-04-24T23:33:55.537294+00:00,0.2374435161787365,True,miss,0,-1.0,0.0
2026-04-24,823800,656811,Ryan O'Hearn,PIT,MIL,A,5,4.2,L,R,1,1,1,0,0.7718824942906698,-338,Ryan O'Hearn,draftkings,-166,124,2026-04-24T23:33:55.537294+00:00,0.2368719486826396,True,hit,2,0.6024096385542169,0.0
2026-04-24,823800,665833,Oneil Cruz,PIT,MIL,A,1,4.6,L,R,1,1,1,0,0.8006875912348429,-402,Oneil Cruz,draftkings,-187,140,2026-04-24T23:33:55.537294+00:00,0.2288627737133685,True,miss,0,-1.0,0.0
2026-04-24,824854,680776,Jarren Duran,BOS,BAL,A,1,4.6,L,R,1,1,1,0,0.7427867650985718,-289,Jarren Duran,draftkings,-154,120,2026-04-24T23:33:55.537294+00:00,0.2251158333443976,True,hit,1,0.6493506493506493,0.0
2026-04-24,824854,807799,Masataka Yoshida,BOS,BAL,A,3,4.4,L,R,1,1,1,0,0.7667633493741354,-329,Masataka Yoshida,draftkings,-168,130,2026-04-24T23:33:55.537294+00:00,0.2231701049539778,True,hit,1,0.5952380952380952,0.0
2026-04-24,824124,672724,Oswald Peraza,LAA,KC,A,5,4.2,R,L,1,1,1,0,0.792191763718923,-381,Oswald Peraza,draftkings,-184,137,2026-04-24T23:33:55.537294+00:00,0.2227307657400767,True,miss,0,-1.0,0.0
2026-04-24,823800,668804,Bryan Reynolds,PIT,MIL,A,3,4.4,L,R,1,1,1,0,0.7413042187690735,-287,Bryan Reynolds,draftkings,-155,117,2026-04-24T23:33:55.537294+00:00,0.2195650050717015,True,miss,0,-1.0,0.0
2026-04-24,823800,664040,Brandon Lowe,PIT,MIL,A,2,4.5,L,R,1,1,1,0,0.746321419874827,-294,Brandon Lowe,draftkings,-158,119,2026-04-24T23:33:55.537294+00:00,0.2186767489095277,True,hit,1,0.6329113924050633,0.0
2026-04-24,823800,687462,Spencer Horwitz,PIT,MIL,A,7,4.0,L,R,1,1,1,0,0.7010909120241801,-235,Spencer Horwitz,draftkings,-138,104,2026-04-24T23:33:55.537294+00:00,0.209127804795325,True,hit,1,0.7246376811594203,0.0
2026-04-24,823638,686668,Brenton Doyle,COL,NYM,A,9,3.8,R,R,0,1,1,0,0.6574143171310425,-192,Brenton Doyle,draftkings,-120,-110,2026-04-24T23:33:55.537294+00:00,0.2052595814069112,True,hit,1,0.8333333333333334,0.0
2026-04-24,824854,702332,Caleb Durbin,BOS,BAL,A,8,3.9,R,R,0,1,1,0,0.7444575627644857,-291,Caleb Durbin,draftkings,-162,126,2026-04-24T23:33:55.537294+00:00,0.203999268174662,True,hit,1,0.6172839506172839,0.0
2026-04-24,823638,677595,Ronny Mauricio,NYM,COL,H,9,3.75,L,R,1,1,1,0,0.7163640658060709,-253,Ronny Mauricio,draftkings,-148,115,2026-04-24T23:33:55.537294+00:00,0.200393839999362,True,hit,2,0.6756756756756757,0.0
2026-04-24,824124,624585,Jorge Soler,LAA,KC,A,4,4.3,R,L,1,1,1,0,0.7515075008074442,-302,Jorge Soler,draftkings,-171,128,2026-04-24T23:33:55.537294+00:00,0.1909855714550724,True,hit,1,0.5847953216374269,0.0
2026-04-24,823800,680779,Henry Davis,PIT,MIL,A,9,3.8,R,R,0,1,1,0,0.6078777511914571,-155,Henry Davis,draftkings,-106,-125,2026-04-24T23:33:55.537294+00:00,0.1813473277871714,True,hit,1,0.9433962264150944,0.0
2026-04-24,824529,693307,Dillon Dingler,DET,CIN,A,5,4.2,R,L,1,1,1,0,0.760705828666687,-318,Dillon Dingler,draftkings,-182,140,2026-04-24T23:33:55.537294+00:00,0.1786760641978337,True,miss,0,-1.0,0.0
2026-04-24,824932,666969,Adolis García,PHI,ATL,A,4,4.3,R,R,0,1,1,0,0.674632708231608,-207,Adolis Garcia,draftkings,-135,105,2026-04-24T23:33:55.537294+00:00,0.1743606402550213,True,hit,3,0.7407407407407407,0.0
2026-04-24,824124,553869,Elias Díaz,KC,LAA,H,8,3.85,R,L,1,1,1,0,0.7154145439465841,-251,Elias Diaz,draftkings,-156,117,2026-04-24T23:33:55.537294+00:00,0.1740136105790098,True,hit,1,0.6410256410256411,0.0
2026-04-24,823638,701807,Carson Benge,NYM,COL,H,7,3.95,L,R,1,1,1,0,0.7163640658060709,-253,Carson Benge,draftkings,-162,126,2026-04-24T23:33:55.537294+00:00,0.1585641064271023,True,hit,1,0.6172839506172839,0.0
2026-04-24,822992,686797,Brooks Lee,MIN,TB,A,8,3.9,L,R,1,1,1,0,0.6651249726613363,-199,Brooks Lee,draftkings,-135,105,2026-04-24T23:33:55.537294+00:00,0.1578101375956594,True,hit,3,0.7407407407407407,0.0
2026-04-24,824854,665750,Leody Taveras,BAL,BOS,H,7,3.95,L,R,1,1,1,0,0.6909435391426086,-224,Leody Taveras,draftkings,-148,115,2026-04-24T23:33:55.537294+00:00,0.1577972818065334,True,miss,0,-1.0,0.0
2026-04-24,823800,668930,Brice Turang,MIL,PIT,H,1,4.55,L,R,1,1,1,0,0.7445772091547648,-292,Brice Turang,draftkings,-181,135,2026-04-24T23:33:55.537294+00:00,0.1559458329971763,True,miss,0,-1.0,0.0
2026-04-24,824611,678391,Jorbit Vivas,WSH,CWS,A,6,4.1,L,L,0,1,1,0,0.7482345104217529,-297,Jorbit Vivas,draftkings,-190,142,2026-04-24T23:33:55.537294+00:00,0.1420421474858333,True,hit,1,0.5263157894736842,0.0
2026-04-24,823800,693304,Nick Gonzales,PIT,MIL,A,6,4.1,R,R,0,1,1,0,0.7308506965637207,-272,Nick Gonzales,draftkings,-180,135,2026-04-24T23:33:55.537294+00:00,0.1368788613213433,True,hit,1,0.5555555555555556,0.0
2026-04-24,824611,686452,Drew Millas,WSH,CWS,A,9,3.8,L,L,0,1,1,0,0.7010909120241801,-235,Drew Millas,draftkings,-162,122,2026-04-24T23:33:55.537294+00:00,0.1338630799403405,True,miss,0,-1.0,0.0
2026-04-24,822827,623168,Tyler Heineman,TOR,CLE,H,9,3.75,L,R,1,1,1,0,0.6060494383176168,-154,Tyler Heineman,draftkings,-115,-115,2026-04-24T23:33:55.537294+00:00,0.1330489498981532,True,miss,0,-1.0,0.0
2026-04-24,823638,683146,Brett Baty,NYM,COL,H,4,4.25,L,R,1,1,1,0,0.7524523536364237,-304,Brett Baty,draftkings,-198,150,2026-04-24T23:33:55.537294+00:00,0.1324787948669407,True,hit,2,0.5050505050505051,0.0
2026-04-24,824124,669326,Bryce Teodosio,LAA,KC,A,9,3.8,R,L,1,1,1,0,0.5974761247634888,-148,Bryce Teodosio,draftkings,-113,-117,2026-04-24T23:33:55.537294+00:00,0.1262160581825053,True,hit,2,0.8849557522123894,0.0
2026-04-24,822992,621439,Byron Buxton,MIN,TB,A,1,4.6,R,R,0,1,1,0,0.6416426698366801,-179,Byron Buxton,draftkings,-135,105,2026-04-24T23:33:55.537294+00:00,0.1169335363823689,True,miss,0,-1.0,0.0
2026-04-24,823800,542303,Marcell Ozuna,PIT,MIL,A,4,4.3,R,R,0,1,1,0,0.6766755978266398,-209,Marcell Ozuna,draftkings,-157,118,2026-04-24T23:33:55.537294+00:00,0.1076791633213147,True,miss,0,-1.0,0.0
2026-04-24,823800,666152,David Hamilton,MIL,PIT,H,9,3.75,L,R,1,1,1,0,0.5708654920260111,-133,David Hamilton,draftkings,-107,-124,2026-04-24T23:33:55.537294+00:00,0.1043846434521896,True,miss,0,-1.0,0.0
2026-04-24,824124,657041,Lane Thomas,KC,LAA,H,4,4.25,R,L,1,1,1,0,0.7013606429100037,-235,Lane Thomas,draftkings,-177,133,2026-04-24T23:33:55.537294+00:00,0.0976095937066159,True,miss,0,-1.0,0.0
2026-04-24,823800,650859,Luis Rengifo,MIL,PIT,H,5,4.15,L,R,1,1,1,0,0.6718957424163818,-205,Luis Rengifo,draftkings,-159,120,2026-04-24T23:33:55.537294+00:00,0.094471681043037,True,miss,0,-1.0,0.0
2026-04-24,824611,683083,Nasim Nuñez,WSH,CWS,A,7,4.0,L,L,0,1,1,0,0.6507095098495483,-186,Nasim Nunez,draftkings,-148,112,2026-04-24T23:33:55.537294+00:00,0.0903780975857296,True,hit,1,0.6756756756756757,0.0
2026-04-24,824124,681351,Logan O'Hoppe,LAA,KC,A,8,3.9,R,L,1,1,1,0,0.6932365298271179,-226,Logan O'Hoppe,draftkings,-176,132,2026-04-24T23:33:55.537294+00:00,0.087120921774344,True,hit,1,0.5681818181818182,0.0
